
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 300, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.265000E+01,+3.329950E-06,+9.910000E+37
+2.265000E+01,+3.390125E-06,+9.910000E+37
+2.265000E+01,+3.364558E-06,+9.910000E+37
+2.265000E+01,+3.341959E-06,+9.910000E+37
+2.265000E+01,+3.368163E-06,+9.910000E+37
+2.270000E+01,+3.577791E-06,+9.910000E+37
+2.270000E+01,+3.597869E-06,+9.910000E+37
+2.270000E+01,+3.579461E-06,+9.910000E+37
+2.270000E+01,+3.571311E-06,+9.910000E+37
+2.270000E+01,+3.612147E-06,+9.910000E+37
+2.275000E+01,+3.795712E-06,+9.910000E+37
+2.275000E+01,+3.763109E-06,+9.910000E+37
+2.275000E+01,+3.827711E-06,+9.910000E+37
+2.275000E+01,+3.808826E-06,+9.910000E+37
+2.275000E+01,+3.778482E-06,+9.910000E+37
+2.280000E+01,+3.996557E-06,+9.910000E+37
+2.280000E+01,+3.965283E-06,+9.910000E+37
+2.280000E+01,+3.936244E-06,+9.910000E+37
+2.280000E+01,+3.977201E-06,+9.910000E+37
+2.280000E+01,+3.972071E-06,+9.910000E+37
+2.285000E+01,+4.188895E-06,+9.910000E+37
+2.285000E+01,+4.218476E-06,+9.910000E+37
+2.285000E+01,+4.209972E-06,+9.910000E+37
+2.285000E+01,+4.234742E-06,+9.910000E+37
+2.285000E+01,+4.223228E-06,+9.910000E+37
+2.290000E+01,+4.413663E-06,+9.910000E+37
+2.290000E+01,+4.472577E-06,+9.910000E+37
+2.290000E+01,+4.451495E-06,+9.910000E+37
+2.290000E+01,+4.418256E-06,+9.910000E+37
+2.290000E+01,+4.458034E-06,+9.910000E+37
+2.295000E+01,+4.623807E-06,+9.910000E+37
+2.295000E+01,+4.608471E-06,+9.910000E+37
+2.295000E+01,+4.634021E-06,+9.910000E+37
+2.295000E+01,+4.619940E-06,+9.910000E+37
+2.295000E+01,+4.626785E-06,+9.910000E+37
+2.300000E+01,+4.888742E-06,+9.910000E+37
+2.300000E+01,+4.876378E-06,+9.910000E+37
